source,target,date,value
Eligibility_TWN_APPROVAL,ABANDONED,12/29/16,2
Eligibility_TWN_APPROVAL,CLOSED,12/27/16,52
Eligibility_TWN_APPROVAL,CLOSED,12/28/16,61
Eligibility_TWN_APPROVAL,CLOSED,12/29/16,38
Eligibility_TWN_APPROVAL,OPEN,12/27/16,1
Eligibility_TWN_APPROVAL,OPEN,12/28/16,1
Eligibility_TWN_APPROVAL,OPEN,12/29/16,1
Eligibility_Type2_Fraud_-_APPROVED,ABANDONED,12/27/16,4
Eligibility_Type2_Fraud_-_APPROVED,ABANDONED,12/28/16,6
Eligibility_Type2_Fraud_-_APPROVED,ABANDONED,12/29/16,3
Eligibility_Type2_Fraud_-_APPROVED,CLOSED,12/27/16,52
Eligibility_Type2_Fraud_-_APPROVED,CLOSED,12/28/16,93
Eligibility_Type2_Fraud_-_APPROVED,CLOSED,12/29/16,65
Eligibility_Type2_Fraud_-_APPROVED,INCOMPLETE,12/27/16,1
Eligibility_Type2_Fraud_-_APPROVED,INCOMPLETE,12/28/16,1
Eligibility_Type2_Fraud_-_APPROVED,INCOMPLETE,12/29/16,1
Eligibility_Type2_Fraud_-_APPROVED,OPEN,12/27/16,1
Eligibility_Type2_Fraud_-_APPROVED,OPEN,12/28/16,1
Eligibility_Type2_Fraud_-_APPROVED,OPEN,12/29/16,1
Eligibility_Type2_Fraud_-_PENDING,OPEN,12/27/16,1
Eligibility_Type2_Fraud_-_PENDING,OPEN,12/28/16,4
Eligibility_Type2_Fraud_-_PENDING,OPEN,12/29/16,1
Eligibility_Type2_Fraud_-_WALKAWAY,INCOMPLETE,12/27/16,23
Eligibility_Type2_Fraud_-_WALKAWAY,INCOMPLETE,12/28/16,39
Eligibility_Type2_Fraud_-_WALKAWAY,INCOMPLETE,12/29/16,20
Eligibility_Type2_Fraud_-_DECLINED,DECLINED,12/27/16,6
Eligibility_Type2_Fraud_-_DECLINED,DECLINED,12/28/16,2
Eligibility_Type1_Fraud_-_PENDING,OPEN,12/27/16,5
Eligibility_Type1_Fraud_-_PENDING,OPEN,12/28/16,6
Eligibility_Type1_Fraud_-_PENDING,OPEN,12/29/16,4
Eligibility_FRAUD_ONLY,CLOSED,12/27/16,1
Eligibility_FRAUD_ONLY,CLOSED,12/28/16,1
Eligibility_FRAUD_ONLY,CLOSED,12/29/16,1
Eligibility_FRAUD_ONLY,DECLINED,12/27/16,15
Eligibility_FRAUD_ONLY,DECLINED,12/28/16,10
Eligibility_FRAUD_ONLY,DECLINED,12/29/16,14
Eligibility_FRAUD_ONLY,INCOMPLETE,12/27/16,19
Eligibility_FRAUD_ONLY,INCOMPLETE,12/28/16,16
Eligibility_FRAUD_ONLY,INCOMPLETE,12/29/16,18
Eligibility_FRAUD_ONLY,OPEN,12/27/16,1
